epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.319,1.09097,4.07572,1.09209,0.53162,0.35393,0.3008,0.20854,0.95477,1.80419,1.01995,7.91251e-05,7.91251e-05,7.91251e-05
2,271.692,1.01012,1.77081,1.04816,0.66122,0.4616,0.4577,0.31413,0.92426,1.45866,1.02348,0.000155321,0.000155321,0.000155321
3,402.769,1.01385,1.42742,1.0416,0.75013,0.50555,0.58165,0.39823,0.91981,1.3144,1.00815,0.000228375,0.000228375,0.000228375
4,534.424,0.98302,1.24393,1.03169,0.7105,0.60609,0.63899,0.44426,0.90823,1.25686,0.99759,0.000223863,0.000223863,0.000223863
5,666.498,0.95688,1.1011,1.02081,0.76186,0.60741,0.68387,0.48861,0.89292,1.15072,1.00906,0.00021915,0.00021915,0.00021915
6,798.482,0.9525,1.00636,1.01353,0.69442,0.68489,0.70317,0.49934,0.88826,1.11972,0.99327,0.000214438,0.000214438,0.000214438
7,930.364,0.93253,0.94455,1.01026,0.77577,0.69624,0.73286,0.52203,0.8792,1.02061,0.9958,0.000209726,0.000209726,0.000209726
8,1062.12,0.90832,0.90012,0.99851,0.78373,0.67936,0.74228,0.54162,0.8612,1.01459,0.97575,0.000205013,0.000205013,0.000205013
9,1193.48,0.91513,0.87327,0.99761,0.7479,0.72857,0.75675,0.54958,0.85025,1.01185,0.97317,0.000200301,0.000200301,0.000200301
10,1324.74,0.89926,0.835,0.99002,0.7954,0.6856,0.74197,0.54535,0.84739,0.94048,0.96985,0.000195588,0.000195588,0.000195588
11,1457.61,0.88358,0.79367,0.98298,0.77378,0.74942,0.76837,0.56448,0.83178,0.9031,0.95727,0.000190876,0.000190876,0.000190876
12,1588.73,0.88005,0.76884,0.97926,0.82586,0.74957,0.78702,0.5825,0.8297,0.846,0.95672,0.000186164,0.000186164,0.000186164
13,1720.08,0.86839,0.76083,0.97669,0.82907,0.72769,0.79751,0.58772,0.82825,0.85931,0.94811,0.000181451,0.000181451,0.000181451
14,1851.25,0.85788,0.72688,0.97945,0.78883,0.75648,0.80058,0.58643,0.81874,0.81765,0.95031,0.000176739,0.000176739,0.000176739
15,1981.88,0.84958,0.70305,0.96655,0.83941,0.75035,0.79819,0.58417,0.8312,0.84398,0.95077,0.000172026,0.000172026,0.000172026
16,2113.66,0.84285,0.6891,0.96466,0.81035,0.76777,0.81736,0.59834,0.817,0.81815,0.94338,0.000167314,0.000167314,0.000167314
17,2245.25,0.83225,0.67116,0.95998,0.81873,0.74238,0.78762,0.58155,0.82264,0.86518,0.94578,0.000162602,0.000162602,0.000162602
18,2377.29,0.84916,0.67044,0.96075,0.81028,0.75434,0.80291,0.59589,0.81559,0.84154,0.94491,0.000157889,0.000157889,0.000157889
19,2508.92,0.82948,0.65212,0.95885,0.79701,0.7791,0.81285,0.61329,0.80993,0.78622,0.94204,0.000153177,0.000153177,0.000153177
20,2640.12,0.82384,0.64374,0.95886,0.85486,0.75273,0.80722,0.60673,0.80758,0.84303,0.93885,0.000148464,0.000148464,0.000148464
21,2770.92,0.81168,0.61954,0.95452,0.81279,0.77101,0.80619,0.59881,0.80347,0.79725,0.93802,0.000143752,0.000143752,0.000143752
22,2902.5,0.8069,0.62388,0.94855,0.86041,0.75653,0.80301,0.5918,0.80076,0.83066,0.93182,0.00013904,0.00013904,0.00013904
23,3033.88,0.80477,0.60526,0.94749,0.80268,0.77761,0.8022,0.60448,0.79801,0.84057,0.93351,0.000134327,0.000134327,0.000134327
24,3165.85,0.79487,0.59524,0.9436,0.87997,0.76049,0.82346,0.61788,0.79221,0.77826,0.93119,0.000129615,0.000129615,0.000129615
25,3298.1,0.79115,0.59802,0.94023,0.87621,0.76333,0.81675,0.61627,0.79392,0.76644,0.9335,0.000124902,0.000124902,0.000124902
26,3429.41,0.79514,0.58264,0.9449,0.82275,0.77028,0.80959,0.61218,0.7881,0.82899,0.92546,0.00012019,0.00012019,0.00012019
